,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
114,Lisbon,06 December 2024,15:00,18.5 km/h,69%,18°,4.8,5.9,61.0,12.0,2.0,384.0, 27 
115,Detroit,06 December 2024,10:00,16.7 km/h,84%,-3°,4.9,,,43.2,2.6,458.0, 27 
116,Dublin,06 December 2024,15:00,46.3 km/h,87%,9°,4.6,8.0,34.3,18.0,3.1,, 26 
117,Toronto,06 December 2024,10:00,43.5 km/h,67%,-5°,3.4,3.3,33.0,48.6,0.3,274.8, 24 
118,Prague,06 December 2024,16:00,29.6 km/h,86%,6°,3.4,7.3,53.1,23.6,5.2,283.2, 22 
119,New York City,06 December 2024,10:00,37 km/h,46%,0°,1.0,,57.0,20.1,1.1,180.9, 23 
120,Canberra,07 December 2024,02:00,5.5 km/h,94%,19°,2.7,,52.0,,,, 21 
121,Melbourne,07 December 2024,02:00,5.5 km/h,82%,19°,3.5,,,,,, 19 
122,Sydney,07 December 2024,03:00,14.8 km/h,82%,23°,3.4,21.0,0.0,0.0,0.0,118.9, 19 
123,Helsinki,06 December 2024,17:00,25.7 km/h,87%,0°,2.2,3.4,36.0,8.5,,, 15 
124,Auckland,07 December 2024,04:00,9.3 km/h,87%,16°,2.6,16.9,,5.3,,, 15 
125,Montreal,06 December 2024,10:00,35.2 km/h,66%,-7°,2.7,,17.0,2.0,1.0,, 15 
0,Lahore,06 December 2024,21:00,7.4 km/h,52%,17°,154.0,,,,,, 229 
1,Delhi,06 December 2024,21:30,0 km/h,48%,16°,132.5,327.7,18.7,87.3,19.7,"2,620.0", 208 
2,Shanghai,07 December 2024,00:00,10.8 km/h,76%,7°,126.0,144.0,27.0,77.0,6.0,"1,036.0", 201 
3,Sarajevo,06 December 2024,17:00,3.2 km/h,100%,4°,112.0,106.5,5.5,78.0,20.5,"1,620.0", 191 
4,Hanoi,06 December 2024,23:00,12 km/h,68%,19°,102.0,110.6,,39.9,,"1,593.3", 184 
5,Cairo,06 December 2024,18:00,5.5 km/h,49%,21°,100.9,,,,,, 183 
6,Tehran,06 December 2024,19:30,7.4 km/h,28%,7°,100.0,112.1,26.4,186.3,73.4,"4,328.1", 182 
7,Hangzhou,07 December 2024,00:00,4.9 km/h,66%,10°,98.5,129.0,14.0,67.5,7.0,"1,050.0", 181 
8,Dhaka,06 December 2024,22:00,0 km/h,60%,19°,92.9,,14.0,,,, 177 
9,Kathmandu,06 December 2024,21:45,5.5 km/h,87%,11°,81.0,123.5,52.0,,,, 169 
10,Kolkata,06 December 2024,21:30,0 km/h,64%,20°,76.7,193.1,9.3,37.1,8.7,"1,850.0", 166 
11,Bishkek,06 December 2024,22:00,4.2 km/h,62%,-4°,74.2,0.0,,81.8,,, 164 
12,Dubai,06 December 2024,20:00,3.7 km/h,65%,25°,72.0,114.3,80.0,,,, 163 
13,Karachi,06 December 2024,21:00,7.4 km/h,33%,21°,66.0,,,,,, 158 
14,Ulaanbaatar,07 December 2024,00:00,3.6 km/h,69%,-26°,61.5,106.0,0.1,53.5,60.0,"1,100.0", 155 
15,Mumbai,06 December 2024,21:30,7.4 km/h,61%,29°,60.8,131.9,23.3,23.2,11.5,800.0, 155 
16,Tashkent,06 December 2024,21:00,3.7 km/h,80%,0°,59.5,,10.0,,,, 154 
17,Almaty,06 December 2024,21:00,7.2 km/h,93%,-3°,59.1,38.6,,79.3,22.6,"1,914.2", 153 
18,Wuhan,06 December 2024,23:00,14.8 km/h,38%,10°,53.0,54.5,20.0,22.0,3.0,"7,000.0", 144 
19,Baghdad,06 December 2024,19:00,9.3 km/h,47%,14°,51.0,,,,,, 139 
20,Guangzhou,07 December 2024,00:00,12.6 km/h,58%,19°,49.5,70.0,52.0,29.0,6.0,895.5, 135 
21,Shenzhen,06 December 2024,23:00,8.9 km/h,76%,18°,44.5,66.0,56.0,36.5,6.5,800.0, 123 
22,Jakarta,06 December 2024,23:00,1.8 km/h,82%,26°,44.3,,8.0,,,, 123 
23,Kinshasa,06 December 2024,17:00,3.7 km/h,49%,33°,42.0,,,,,, 117 
24,Kuwait City,06 December 2024,19:00,13.4 km/h,49%,20°,41.5,,,,,, 116 
25,Kampala,06 December 2024,18:00,4 km/h,63%,21°,40.5,1.2,38.2,4.6,0.0,, 113 
26,Kabul,06 December 2024,20:30,1.4 km/h,28%,4°,38.9,,,,,, 109 
27,Bogota,06 December 2024,11:00,7.4 km/h,61%,18°,38.8,70.9,20.5,,,, 109 
28,Manama,06 December 2024,19:00,11.1 km/h,76%,23°,38.0,,,,,, 107 
29,Doha,06 December 2024,19:00,7.4 km/h,53%,23°,36.5,,36.0,,,, 103 
30,Tel Aviv-Yafo,06 December 2024,17:00,16.7 km/h,42%,22°,35.9,124.0,189.0,55.1,23.1,"1,087.8", 102 
31,Skopje,06 December 2024,17:00,1.8 km/h,93%,8°,35.8,46.3,4.9,26.1,3.4,, 101 
32,Hong Kong,07 December 2024,00:00,17.7 km/h,70%,20°,35.5,49.9,47.2,70.1,2.7,804.3, 101 
33,Yangon,06 December 2024,22:30,5.5 km/h,83%,26°,33.2,,,,,, 96 
34,Medan,06 December 2024,23:00,16.7 km/h,33%,26°,21.8,39.5,153.5,47.7,28.2,, 75 
35,Kaohsiung,07 December 2024,00:00,7.4 km/h,78%,21°,31.5,62.0,38.0,29.1,5.2,463.7, 93 
36,Jerusalem,06 December 2024,18:00,4.8 km/h,45%,15°,24.2,,178.8,48.7,,, 79 
37,Chongqing,07 December 2024,00:00,4.1 km/h,94%,6°,30.0,41.0,11.0,29.5,7.0,600.0, 90 
38,Lima,06 December 2024,11:00,16.7 km/h,73%,19°,29.8,67.2,5.9,22.5,20.6,1.5, 89 
39,Salt Lake City,06 December 2024,09:00,9.3 km/h,79%,1°,29.1,34.0,1.0,64.5,4.6,973.3, 88 
40,Milano,06 December 2024,17:00,14.8 km/h,81%,6°,29.0,72.7,18.3,30.3,5.6,800.0, 88 
41,Chiang Mai,06 December 2024,23:00,3 km/h,83%,22°,28.0,51.6,,,,, 86 
42,Bangkok,06 December 2024,23:00,4.8 km/h,52%,27°,28.0,81.0,38.0,95.9,,, 86 
43,Manila,07 December 2024,00:00,3.7 km/h,82%,28°,27.5,,,,,, 85 
44,Riyadh,06 December 2024,19:00,9.6 km/h,30%,25°,27.0,,,,,, 84 
45,Batam,06 December 2024,23:00,9.3 km/h,84%,29°,26.1,26.2,127.5,47.9,1.9,, 83 
46,Baku,06 December 2024,20:00,3.7 km/h,93%,10°,25.7,,,,,, 82 
47,Dakar,06 December 2024,16:00,18.5 km/h,51%,28°,25.0,9.2,,,,, 81 
48,Chengdu,06 December 2024,23:00,10.8 km/h,62%,9°,25.0,43.0,37.0,30.0,4.0,400.0, 81 
49,Kuala Lumpur,07 December 2024,00:00,0 km/h,78%,27°,24.9,,,,,, 80 
50,Madrid,06 December 2024,17:00,5.5 km/h,62%,16°,23.0,35.0,21.0,57.0,4.0,, 77 
51,Zagreb,06 December 2024,17:00,5.5 km/h,81%,3°,24.2,46.5,16.3,48.0,6.1,544.0, 79 
52,Accra,06 December 2024,16:00,14.8 km/h,66%,31°,23.5,,,,,, 78 
53,Istanbul,06 December 2024,19:00,1.5 km/h,63%,12°,22.6,56.9,6.6,77.2,8.8,"1,177.8", 76 
54,Algiers,06 December 2024,17:00,16.7 km/h,52%,18°,22.0,,,,,, 75 
55,Warsaw,06 December 2024,17:00,18.5 km/h,85%,1°,23.1,30.4,16.9,29.3,2.7,254.0, 77 
56,Budapest,06 December 2024,17:00,7.4 km/h,95%,0°,22.0,31.0,2.8,39.9,8.4,942.5, 75 
57,Oslo,06 December 2024,17:00,3.2 km/h,85%,2°,19.3,27.3,24.1,26.6,0.5,275.1, 70 
58,Lyon,06 December 2024,17:00,5.5 km/h,75%,9°,19.0,26.8,,33.6,3.1,0.3, 69 
59,Bratislava,06 December 2024,17:00,3.7 km/h,97%,0°,19.0,25.0,13.0,59.0,4.0,421.1, 69 
60,Nairobi,06 December 2024,19:00,18.5 km/h,46%,22°,18.5,10.7,,,,51.5, 69 
61,Kyiv,06 December 2024,18:00,1.6 km/h,74%,1°,17.1,19.2,,,,, 66 
62,Ljubljana,06 December 2024,17:00,3.7 km/h,88%,1°,17.6,28.3,26.0,49.0,,200.1, 67 
63,Copenhagen,06 December 2024,17:00,13 km/h,86%,3°,16.0,17.8,34.7,18.5,1.1,0.2, 64 
64,Belgrade,06 December 2024,17:00,18.5 km/h,81%,6°,16.3,26.5,23.2,36.3,8.5,590.0, 64 
65,Phnom Penh,06 December 2024,23:00,5.5 km/h,79%,29°,15.0,,,,,, 62 
66,Los Angeles,06 December 2024,08:00,3.2 km/h,36%,18°,15.0,0.0,0.0,52.4,,, 62 
67,Athens,06 December 2024,18:00,8.1 km/h,89%,15°,14.7,11.0,13.0,65.5,5.0,, 61 
68,Pristina,06 December 2024,17:00,9.3 km/h,82%,7°,13.3,14.6,16.4,48.4,12.3,700.0, 59 
69,Kraków,06 December 2024,17:00,11.1 km/h,66%,2°,11.5,14.6,,39.1,2.4,123.0, 55 
70,Vienna,06 December 2024,17:00,19.3 km/h,79%,6°,12.0,17.0,53.0,19.5,1.0,300.0, 56 
71,Sofia,06 December 2024,18:00,22.2 km/h,87%,3°,12.4,21.1,18.3,29.4,16.6,0.4, 57 
72,Nice,06 December 2024,17:00,25.9 km/h,78%,14°,11.8,27.7,42.9,26.7,,, 56 
73,Ho Chi Minh City,06 December 2024,23:00,7.4 km/h,79%,28°,12.0,,,,,, 56 
74,Krasnoyarsk,06 December 2024,23:00,5.4 km/h,97%,-8°,11.5,,,47.5,14.5,300.0, 55 
75,Amsterdam,06 December 2024,17:00,22.2 km/h,75%,9°,11.6,30.4,58.2,25.2,0.1,352.0, 55 
76,Singapore,07 December 2024,00:00,9.3 km/h,82%,27°,11.0,20.0,33.0,12.0,5.0,400.0, 55 
77,Santiago,06 December 2024,13:00,9.3 km/h,43%,21°,11.0,39.0,77.0,13.9,6.8,372.1, 55 
78,Bucharest,06 December 2024,18:00,11.1 km/h,96%,2°,11.4,16.6,6.9,37.1,6.6,, 55 
79,Barcelona,06 December 2024,17:00,9.3 km/h,66%,17°,11.0,17.0,33.0,18.0,1.0,200.0, 55 
80,Incheon,07 December 2024,01:00,9.3 km/h,74%,-3°,11.0,20.0,52.3,20.9,8.4,503.8, 55 
81,Kuching,07 December 2024,00:00,1.8 km/h,95%,26°,10.5,,,,,, 54 
82,Rome,06 December 2024,17:00,7.4 km/h,58%,12°,10.6,,23.5,35.0,0.5,0.9, 54 
83,Paris,06 December 2024,17:00,14.8 km/h,72%,9°,9.6,23.7,45.0,29.9,,, 52 
84,Moscow,06 December 2024,19:00,17.9 km/h,55%,-4°,10.1,,,,,, 53 
85,Berlin,06 December 2024,17:00,11.1 km/h,94%,6°,10.0,16.0,3.0,46.0,,0.0, 53 
86,Busan,07 December 2024,01:00,5.5 km/h,45%,3°,10.0,18.0,58.0,15.0,5.2,343.5, 53 
87,San Francisco,06 December 2024,08:00,4.8 km/h,88%,11°,9.6,,14.0,,,, 52 
88,Rotterdam,06 December 2024,17:00,18.5 km/h,78%,8°,9.7,27.5,46.4,30.3,,, 52 
89,Wrocław,06 December 2024,17:00,13 km/h,95%,2°,9.4,18.3,14.7,40.7,11.8,553.5, 51 
90,Johannesburg,06 December 2024,17:00,6.4 km/h,24%,30°,4.0,49.1,,,,, 45 
91,Addis Ababa,06 December 2024,19:00,18.5 km/h,24%,19°,13.0,,,,,, 58 
92,Kobe,07 December 2024,01:00,18.4 km/h,59%,7°,8.0,,,15.0,2.6,343.5, 44 
93,Houston,06 December 2024,10:00,27.8 km/h,50%,7°,4.0,47.0,40.0,7.0,0.0,114.5, 44 
94,Seoul,07 December 2024,01:00,9.3 km/h,74%,-3°,8.0,20.0,48.7,24.1,6.6,458.0, 44 
95,Taipei,07 December 2024,00:00,16.7 km/h,61%,20°,7.5,17.0,80.0,18.8,2.9,251.9, 42 
96,Birmingham,06 December 2024,16:00,14.8 km/h,87%,6°,7.4,18.0,32.0,15.3,0.8,, 41 
97,Sao Paulo,06 December 2024,13:00,24.1 km/h,66%,31°,9.5,14.0,75.0,18.0,0.5,343.5, 52 
98,Stockholm,06 December 2024,17:00,14.8 km/h,94%,2°,8.4,11.4,29.8,12.4,,, 47 
99,Seattle,06 December 2024,08:00,7.4 km/h,89%,3°,7.0,10.0,9.4,27.1,0.3,266.1, 38 
100,Seattle,06 December 2024,08:00,7.4 km/h,89%,3°,7.0,10.0,9.4,27.1,0.3,266.1, 38 
101,Kyoto,07 December 2024,01:00,5 km/h,83%,5°,6.5,9.0,,24.4,2.6,343.5, 36 
102,Washington D.C.,06 December 2024,11:00,31.5 km/h,51%,1°,6.4,9.0,50.0,8.8,,229.0, 36 
103,Portland,06 December 2024,08:00,17.7 km/h,82%,2°,6.5,8.9,15.0,19.9,1.3,286.3, 36 
104,Osaka,07 December 2024,01:00,5.5 km/h,61%,7°,6.0,7.5,,13.2,10.5,458.0, 33 
105,Minneapolis,06 December 2024,10:00,22.2 km/h,59%,-3°,4.6,30.0,,,,, 28 
106,Toronto,06 December 2024,11:00,18.5 km/h,71%,-4°,3.0,4.0,24.0,47.8,0.4,366.4, 24 
107,Vancouver,06 December 2024,08:00,9.3 km/h,95%,7°,5.3,,1.8,,1.9,, 29 
108,Chicago,06 December 2024,10:00,29.6 km/h,60%,-5°,5.4,,,,,, 29 
109,Brussels,06 December 2024,17:00,14.8 km/h,77%,7°,5.1,15.5,50.0,21.0,,, 28 
110,Detroit,06 December 2024,11:00,22.2 km/h,78%,-1°,5.1,,,36.7,2.6,458.0, 28 
111,Beijing,07 December 2024,00:00,10.8 km/h,46%,-4°,6.0,11.0,51.0,7.0,3.0,200.0, 33 
112,Tokyo,07 December 2024,01:00,7.4 km/h,46%,10°,5.0,6.0,,54.5,2.6,458.0, 28 
113,London,06 December 2024,16:00,18.5 km/h,72%,8°,5.0,18.8,36.9,30.0,,, 28 
114,Munich,06 December 2024,17:00,6.4 km/h,72%,5°,4.8,9.0,62.5,11.0,,, 27 
115,Bern,06 December 2024,17:00,16.1 km/h,66%,6°,3.6,4.0,60.0,28.0,,, 25 
116,Lisbon,06 December 2024,16:00,14.8 km/h,70%,18°,4.0,5.3,59.0,17.0,3.0,244.5, 24 
117,New York City,06 December 2024,11:00,31.5 km/h,45%,0°,1.0,,58.0,18.7,0.8,175.2, 24 
118,Prague,06 December 2024,17:00,37 km/h,86%,5°,3.0,7.0,53.1,23.6,5.2,283.2, 22 
119,Canberra,07 December 2024,03:00,9.3 km/h,94%,19°,2.0,,52.0,,,, 21 
120,Melbourne,07 December 2024,03:00,3.7 km/h,82%,19°,3.5,,,,,, 19 
121,Sydney,07 December 2024,03:00,7.4 km/h,84%,22°,3.1,20.5,0.0,0.0,0.0,157.9, 19 
122,Helsinki,06 December 2024,18:00,22.5 km/h,87%,0°,2.2,2.9,36.3,6.0,0.3,, 15 
123,Auckland,07 December 2024,05:00,13 km/h,88%,15°,2.4,15.0,,6.2,,, 14 
124,Dublin,06 December 2024,16:00,48.2 km/h,88%,10°,4.4,7.4,39.5,18.8,3.0,, 24 
125,Montreal,06 December 2024,11:00,33.3 km/h,62%,-7°,2.7,,18.0,1.5,1.0,, 15 
0,Lahore,06 December 2024,22:00,14.8 km/h,55%,15°,150.5,,,,,, 226 
1,Shanghai,07 December 2024,01:00,7.2 km/h,76%,8°,131.0,150.0,37.0,64.0,6.0,"1,000.0", 206 
2,Sarajevo,06 December 2024,18:00,4.8 km/h,100%,4°,126.9,107.5,5.5,76.0,22.0,"1,873.5", 202 
3,Delhi,06 December 2024,22:30,0 km/h,51%,15°,151.0,354.5,6.7,63.0,12.6,"3,650.0", 226 
4,Hangzhou,07 December 2024,01:00,3.9 km/h,66%,10°,122.0,152.5,42.0,51.0,7.0,"1,000.0", 198 
5,Dhaka,06 December 2024,23:00,0 km/h,63%,19°,108.5,,14.0,,,, 188 
6,Kathmandu,06 December 2024,22:45,7.4 km/h,87%,11°,104.0,116.2,28.0,,,, 185 
7,Hanoi,07 December 2024,00:00,11 km/h,69%,18°,103.0,103.2,,42.8,,"1,441.8", 184 
8,Cairo,06 December 2024,19:00,5.5 km/h,49%,21°,94.3,,,,,, 178 
9,Tehran,06 December 2024,20:30,7.4 km/h,31%,7°,87.0,112.1,26.4,186.3,73.4,"4,328.1", 173 
10,Kolkata,06 December 2024,22:30,0 km/h,68%,19°,79.9,192.4,9.2,38.2,6.8,"1,830.0", 168 
11,Dubai,06 December 2024,21:00,7.4 km/h,69%,25°,70.0,109.4,90.0,,,, 161 
12,Ulaanbaatar,07 December 2024,01:00,0 km/h,76%,-25°,67.4,106.0,0.1,48.0,60.0,"2,500.0", 159 
13,Baghdad,06 December 2024,20:00,5.5 km/h,51%,13°,75.0,,,,,, 165 
14,Mumbai,06 December 2024,22:30,0 km/h,65%,28°,64.2,129.8,17.5,27.0,11.2,910.0, 157 
15,Bishkek,06 December 2024,23:00,5.7 km/h,62%,-4°,63.1,0.0,,80.9,,, 156 
16,Tashkent,06 December 2024,22:00,3.7 km/h,86%,0°,63.6,,10.0,,,, 157 
17,Kabul,06 December 2024,21:30,2.2 km/h,28%,3°,61.8,,,,,, 155 
18,Karachi,06 December 2024,22:00,7.4 km/h,52%,17°,56.5,,,,,, 152 
19,Almaty,06 December 2024,22:00,7.2 km/h,93%,-3°,56.7,35.9,,80.6,25.6,"1,914.2", 152 
20,Jakarta,07 December 2024,00:00,3.7 km/h,87%,26°,56.0,,8.0,,,, 151 
21,Kampala,06 December 2024,19:00,5.6 km/h,70%,20°,52.0,4.1,38.0,9.9,0.0,, 142 
22,Guangzhou,07 December 2024,01:00,14.4 km/h,59%,19°,45.0,58.0,43.0,23.0,6.0,800.0, 124 
23,Wuhan,07 December 2024,01:00,12.5 km/h,39%,10°,47.0,53.5,19.0,19.0,3.0,"6,000.0", 129 
24,Shenzhen,07 December 2024,01:00,8.9 km/h,80%,17°,43.0,60.0,47.5,26.0,6.0,750.0, 119 
25,Kuwait City,06 December 2024,20:00,15 km/h,47%,20°,43.5,,,,,, 121 
26,Kinshasa,06 December 2024,18:00,4.3 km/h,84%,25°,63.0,,,,,, 156 
27,Tel Aviv-Yafo,06 December 2024,18:00,7.4 km/h,34%,21°,34.0,132.0,165.8,84.0,24.4,"1,202.3", 97 
28,Doha,06 December 2024,20:00,5.5 km/h,57%,23°,33.0,,26.0,,,, 96 
29,Manama,06 December 2024,20:00,9.3 km/h,78%,23°,33.0,,,,,, 96 
30,Hong Kong,07 December 2024,01:00,6.4 km/h,70%,19°,33.2,46.7,51.0,46.4,2.7,743.9, 96 
31,Milano,06 December 2024,18:00,11.1 km/h,85%,5°,32.8,82.3,18.3,32.4,5.6,500.0, 95 
32,Skopje,06 December 2024,18:00,5.5 km/h,93%,8°,33.0,43.0,5.2,24.9,4.8,, 95 
33,Kaohsiung,07 December 2024,01:00,7.4 km/h,78%,21°,29.0,60.5,33.0,31.0,5.2,469.5, 88 
34,Zagreb,06 December 2024,18:00,0 km/h,87%,1°,31.5,54.3,11.8,49.8,1.6,559.0, 93 
35,Bogota,06 December 2024,12:00,7.4 km/h,59%,18°,30.0,68.5,30.5,,,, 90 
36,Bangkok,07 December 2024,00:00,4 km/h,53%,27°,29.8,80.0,38.0,92.1,,, 90 
37,Baku,06 December 2024,21:00,3.7 km/h,93%,10°,29.5,,,,,, 89 
38,Salt Lake City,06 December 2024,10:00,7.4 km/h,75%,3°,29.3,59.0,5.0,76.2,5.9,"1,145.0", 88 
39,Chongqing,07 December 2024,01:00,3.9 km/h,93%,6°,29.0,43.0,11.0,28.0,7.0,600.0, 88 
40,Medan,07 December 2024,00:00,18.5 km/h,100%,25°,28.7,33.0,153.5,47.7,28.2,, 87 
41,Riyadh,06 December 2024,20:00,8.7 km/h,31%,22°,28.0,,,,,, 86 
42,Jerusalem,06 December 2024,19:00,1.6 km/h,48%,15°,38.5,,168.8,45.7,,, 108 
43,Manila,07 December 2024,01:00,3.7 km/h,84%,27°,14.6,,,,,, 61 
44,Chengdu,07 December 2024,01:00,7.2 km/h,62%,9°,24.0,36.0,42.0,23.0,3.0,400.0, 79 
45,Chiang Mai,07 December 2024,00:00,5.5 km/h,83%,24°,27.0,47.7,,,,, 84 
46,Batam,07 December 2024,00:00,9.3 km/h,84%,29°,27.4,27.3,127.7,47.8,1.9,, 85 
47,Dakar,06 December 2024,17:00,27.1 km/h,59%,25°,26.0,9.4,,,,, 82 
48,Athens,06 December 2024,19:00,8.1 km/h,91%,14°,25.2,19.0,3.0,67.0,4.0,, 81 
49,Lima,06 December 2024,12:00,16.7 km/h,73%,19°,25.6,67.2,7.5,21.1,21.0,1.5, 82 
50,Kuala Lumpur,07 December 2024,01:00,0 km/h,78%,27°,24.9,,,,,, 80 
51,Istanbul,06 December 2024,20:00,3.6 km/h,64%,10°,24.6,80.7,6.3,90.2,8.7,"1,561.7", 80 
52,Madrid,06 December 2024,18:00,7.4 km/h,67%,14°,24.0,34.5,7.0,70.0,4.0,, 79 
53,Accra,06 December 2024,17:00,16.1 km/h,60%,29°,23.0,,,,,, 77 
54,Oslo,06 December 2024,18:00,5.1 km/h,96%,0°,20.8,22.9,22.6,32.6,0.2,0.3, 73 
55,Warsaw,06 December 2024,18:00,22.2 km/h,86%,1°,24.1,31.2,13.8,28.8,2.9,265.0, 79 
56,Nairobi,06 December 2024,20:00,20.4 km/h,56%,20°,22.5,12.6,,,,54.4, 76 
57,Algiers,06 December 2024,18:00,7.4 km/h,63%,16°,11.0,,,,,, 55 
58,Bratislava,06 December 2024,18:00,1.8 km/h,97%,0°,20.8,29.6,12.9,42.8,4.0,0.6, 73 
59,Ljubljana,06 December 2024,18:00,9.3 km/h,91%,0°,21.9,28.0,19.1,50.0,,200.1, 75 
60,Copenhagen,06 December 2024,18:00,16.7 km/h,86%,3°,20.4,22.4,25.6,25.0,1.2,0.3, 72 
61,Yangon,06 December 2024,23:30,5.5 km/h,89%,25°,18.5,,,,,, 69 
62,Lyon,06 December 2024,18:00,3.7 km/h,83%,7°,19.0,28.7,,48.2,3.6,0.5, 69 
63,Phnom Penh,07 December 2024,00:00,7.4 km/h,89%,27°,18.0,,,,,, 68 
64,Kyiv,06 December 2024,19:00,14.2 km/h,74%,1°,17.7,19.9,,,,, 67 
65,Belgrade,06 December 2024,18:00,13 km/h,83%,5°,17.1,31.2,23.6,37.0,8.9,665.0, 66 
66,Ho Chi Minh City,07 December 2024,00:00,1.8 km/h,89%,26°,16.0,,,,,, 64 
67,Kraków,06 December 2024,18:00,7.4 km/h,68%,2°,15.2,16.3,,48.0,3.9,123.0, 62 
68,Budapest,06 December 2024,18:00,4.8 km/h,95%,1°,18.2,26.0,2.4,32.6,8.5,819.5, 68 
69,Los Angeles,06 December 2024,09:00,1.6 km/h,38%,20°,15.5,0.0,2.0,63.3,,, 63 
70,Addis Ababa,06 December 2024,20:00,18.5 km/h,39%,16°,15.0,,,,,, 62 
71,Rome,06 December 2024,18:00,7.4 km/h,64%,11°,15.1,,29.5,36.5,0.5,0.9, 62 
72,Pristina,06 December 2024,18:00,11.1 km/h,83%,7°,14.0,18.1,15.9,43.9,10.5,700.0, 60 
73,Sofia,06 December 2024,19:00,20.4 km/h,87%,3°,13.0,22.7,14.0,36.8,9.4,0.7, 58 
74,San Francisco,06 December 2024,09:00,1.6 km/h,85%,13°,12.4,,14.0,40.8,,, 57 
75,Kuching,07 December 2024,01:00,1.8 km/h,98%,26°,11.8,,,,,, 56 
76,Nice,06 December 2024,18:00,25.9 km/h,84%,13°,13.3,36.1,31.3,38.1,,, 59 
77,Bucharest,06 December 2024,19:00,13 km/h,96%,2°,12.0,16.0,7.0,34.2,6.9,, 56 
78,Vienna,06 December 2024,18:00,25.7 km/h,78%,7°,12.0,16.0,58.0,17.0,2.0,300.0, 56 
79,Barcelona,06 December 2024,18:00,9.3 km/h,63%,16°,12.0,17.0,32.0,26.0,1.0,300.0, 56 
80,Amsterdam,06 December 2024,18:00,20.4 km/h,72%,9°,11.4,26.5,56.5,17.9,0.7,304.7, 55 
81,Incheon,07 December 2024,02:00,9.3 km/h,74%,-3°,11.0,20.5,49.7,19.2,8.7,521.0, 55 
82,Wrocław,06 December 2024,18:00,9.3 km/h,96%,3°,12.5,20.6,10.4,47.1,13.7,651.5, 57 
83,Singapore,07 December 2024,01:00,11.1 km/h,84%,27°,10.5,20.0,29.0,17.0,5.0,500.0, 53 
84,Rotterdam,06 December 2024,18:00,14.8 km/h,81%,7°,9.4,28.8,24.1,53.3,,, 52 
85,Krasnoyarsk,07 December 2024,00:00,5.2 km/h,96%,-8°,11.9,,,44.0,15.0,350.0, 56 
86,Paris,06 December 2024,18:00,7.4 km/h,78%,8°,10.3,26.7,38.8,42.2,,, 53 
87,Moscow,06 December 2024,20:00,17.6 km/h,56%,-4°,10.0,,,,,, 52 
88,Johannesburg,06 December 2024,19:00,3.2 km/h,24%,28°,9.0,49.1,,,,, 50 
89,Santiago,06 December 2024,14:00,13 km/h,40%,22°,9.0,39.0,82.0,14.3,4.2,366.4, 50 
90,Berlin,06 December 2024,18:00,7.4 km/h,94%,6°,9.0,17.0,7.0,43.5,,0.0, 50 
91,Busan,07 December 2024,02:00,5.5 km/h,55%,1°,9.0,18.5,62.0,13.2,7.9,343.5, 50 
92,Stockholm,06 December 2024,18:00,14.8 km/h,94%,2°,9.1,13.3,30.2,13.8,,, 51 
93,Kobe,07 December 2024,02:00,17 km/h,62%,6°,9.0,,,16.9,2.6,343.5, 50 
94,Houston,06 December 2024,11:00,22.2 km/h,46%,9°,4.6,35.2,41.0,8.1,0.0,114.5, 32 
95,Seoul,07 December 2024,02:00,5.5 km/h,74%,-3°,8.0,20.0,47.4,25.8,6.7,469.5, 44 
96,Seattle,06 December 2024,09:00,9.3 km/h,89%,4°,7.7,14.9,9.4,27.1,0.3,266.1, 42 
97,Sao Paulo,06 December 2024,14:00,24.1 km/h,67%,30°,8.0,17.5,83.0,17.5,1.0,343.5, 44 
98,Osaka,07 December 2024,02:00,9.3 km/h,70%,6°,7.0,8.5,,15.0,10.5,343.5, 39 
99,Birmingham,06 December 2024,17:00,20.4 km/h,87%,6°,6.9,18.7,30.6,17.6,0.8,, 38 
100,Denver,06 December 2024,10:00,9.6 km/h,36%,8°,4.2,30.0,26.0,47.0,3.9,572.5, 28 
101,Portland,06 December 2024,09:00,27.8 km/h,78%,3°,6.5,9.0,13.0,19.2,1.6,286.3, 36 
102,London,06 December 2024,17:00,11.1 km/h,74%,8°,6.0,22.7,38.4,27.0,,300.0, 33 
103,Washington D.C.,06 December 2024,12:00,35.2 km/h,48%,2°,6.2,9.0,54.0,6.9,,171.8, 34 
104,Vancouver,06 December 2024,09:00,7.4 km/h,94%,7°,6.1,,1.7,,1.9,, 34 
105,Brussels,06 December 2024,18:00,11.1 km/h,81%,6°,5.9,17.5,46.0,21.0,,, 33 
106,Taipei,07 December 2024,01:00,18.5 km/h,61%,19°,7.5,21.5,82.0,13.2,2.8,251.9, 42 
107,Kyoto,07 December 2024,02:00,5.3 km/h,82%,5°,6.0,7.0,,24.4,2.6,286.3, 33 
108,Beijing,07 December 2024,01:00,7.2 km/h,40%,-2°,6.0,10.5,48.5,6.0,3.0,200.0, 33 
109,Chicago,06 December 2024,11:00,24.2 km/h,53%,-3°,5.3,,,,,, 29 
110,Tokyo,07 December 2024,02:00,7.4 km/h,49%,9°,5.0,6.0,,58.3,1.3,458.0, 29 
111,Detroit,06 December 2024,12:00,18.5 km/h,63%,0°,5.2,,,26.3,2.6,400.8, 29 
112,Minneapolis,06 December 2024,11:00,16.7 km/h,58%,-2°,4.7,48.0,,,,, 44 
